Title,Short Name,HSN Code,Barcode,Tax,MRP,Sale Price,Opening Stock,Purchase Price,Weight,Item Category,Item Company,Sub Category,Item Company Category,Minimum Quantity,Maximum Quantity,Reorder Quantity
PEN RS.5,PEN RS.5,96089990,PEN5,GST @12%,5,5,224,3.82,0,STATIONERY,REYNOLDS,<Add New>,,,,
PEN RS.10,PEN RS.10,96089990,PEN10,GST @12%,10,10,111,5.8,0,STATIONERY,REYNOLDS,<Add New>,,,,
RORITO ARGO SOFT GOLD PEN,RORITO ARGO SOFT GOL,0,8902530000000,GST @0%,50,50,0,35.84,0,STATIONERY,REYNOLDS,<Add New>,,,,
PEN RS.6,PEN RS.6,96089990,8,GST @12%,6,6,0,3.69,0,STATIONERY,REYNOLDS,<Add New>,,,,
REYNOLDS JETTER REVO PEN,REYNOLDS JETTER REVO,0,8902530000000,GST @5%,15,15,3,12.1,36.3,STATIONERY,REYNOLDS,<Add New>,,,,
REYNOLDS TRIMAZ REFILL0.5ML,REYN. REFILL RS.20,0,BARCODE CHANGE,Tax 5%,20,20,0,15.71,0,STATIONERY,REYNOLDS,<Add New>,,,,
EVEREADY ULTIMA AA 2PEC ALKALINE,EVEREADY ULTIMA AA 2,0,8901690000000,GST @28%,65,65,0,40,0,ELECTRONIC ITEMS,EVEREADY,BATTERIES,,,,
EVEREADY ULTIMA ALKALINE 2112 AAA,EVER.ULTIMA ALK AAAA,0,8901690000000,GST @28%,35,35,71,25.53,1812.63,ELECTRONIC ITEMS,EVEREADY,BATTERIES,,,,
DURACELL LASTS LONGER MUCH LONGER AAA 2025,DURACELL LASTS LONGE,8506,5000390000000,GST @18%,38,38,133,25.77,3427.41,ELECTRONIC ITEMS,DURACELL,BATTERIES,,,,
MOTHER DAIRY CHILLZ KESAR ELAICHI FLAVOURED MILK 180ML,M.D.KESAR ELAICHI MI,2202903,8901650000000,GST @12%,22,22,3,16.07,48.21,DRINKS AND BEVERAGES,MOTHER DAIRY,MILK BEVERAGES,,,,
EVEREADY CELL 1015AA,EVEREADY CELL 1015AA,85061000,8901690000000,GST @18%,15,15,88,8.7,765.6,ELECTRONIC ITEMS,EVEREADY,BATTERIES,,,,
DURACELL D 1.5V 2N,DURACELL D 1.5V 2N,0,5000390000000,GST @28%,330,330,0,238.61,0,ELECTRONIC ITEMS,DURACELL,BATTERIES,,,,
DURACELL C 1.5V 2N,DURACELL C 1.5V 2N,85061000,5000390000000,GST @18%,250,250,8,169.49,1355.92,ELECTRONIC ITEMS,DURACELL,BATTERIES,,,,
NAVNEET MY LONG BOOK 172PAGES,NAV.LONG BOOK ,48201010,8902440000000,Tax 5%,40,40,1,28,28,STATIONERY,NAVNEET,<Add New>,,,,
NATARAJ SHARPENER RS.3,NATRJ SHARPENER RS3,0,8901725102258,Tax 5%,3,3,0,2.28,0,STATIONERY,NATARAJ,<Add New>,,,,
AMUL MASTI SPICED BUTTERMILK 1LTR,AMUL M.S.B.MILK 1LTR,0,8901260000000,GST @0%,50,50,0,46.85,0,DRINKS AND BEVERAGES,AMUL,MILK BEVERAGES,,,,
KHARBUJA,KHARBUJA,0,11,GST @0%,50,50,-0.163,30,-4.89,FRUITS & VEGETABLES,<Add New>,<Add New>,,,,
NAVNEET FUN WAX CRAYONS 16 SHADES 1 GLITTER,NAV FN WX CR 16S 1GL,0,124,Tax 5%,28,28,0,19.6,0,STATIONERY,NAVNEET,<Add New>,,,,
FEVI STIK STICK 5GM,FEVI STIK STICK 5GM,35061000,8901860000000,GST @18%,15,15,1,9.94,9.94,STATIONERY,PIDILITE,<Add New>,,,,
FEVI KWIK 3GM,FEVI KWIK 3GM,0,8901860000000,GST @12%,25,25,52,19.33,1005.16,STATIONERY,PIDILITE,<Add New>,,,,
NAVNEET MY 5 SUBJECT NOTEBOOK,NVNET NOTEBOOK 180,0,132,Tax 5%,180,180,0,126,0,STATIONERY,NAVNEET,<Add New>,,,,
NAVNEET NOTE HOLI SPECIAL SERISE 172PAGES,NAVNEET NOTE HOLI SP,4820,8902440000000,GST @12%,45,45,0,28.12,0,STATIONERY,NAVNEET,<Add New>,,,,
NAVNEET BLACK WOOD PENCILS,NAVNEET BLACK WOOD P,96092000,8902440000000,GST @12%,130,130,0,81.25,0,STATIONERY,NAVNEET,<Add New>,,,,
NAVNEET SOFT BOUND A4 SIZE 196PAGES,NAVNEET SOFT BOUND A,4820,8902440000000,GST @12%,72,72,0,45,0,STATIONERY,NAVNEET,<Add New>,,,,
NAVNEET PLUS NOTE BOOK 144PAGES,NAVNEET PLUS NOTE BO,0,8904140000000,Tax 5%,27,27,0,20.25,0,STATIONERY,NAVNEET,<Add New>,,,,
NAVNEET MY CRAFT PAPER 50 SHEETS,NAVNET CRAFT RS.38,0,8902440000000,Tax 5%,50,50,0,33.5,0,STATIONERY,NAVNEET,<Add New>,,,,
NAVNEET SCHOOL NOTE BOOK 172PAGES,NAVNEET SCHOOL NOTE,0,8904140000000,Tax 5%,38,38,1,28.5,28.5,STATIONERY,NAVNEET,<Add New>,,,,
NAVNEET MY NOTES  A6 160PAGES,NAV MY NOTES A6 160P,48201010,8902440000000,GST @12%,45,45,9,28.12,253.08,STATIONERY,NAVNEET,<Add New>,,,,
NAVNET MY 6 SUBJECT NOTEBOOK 300 PAGES,NAV NOBO 6 SUB 300P,0,142,Tax 5%,110,110,0,82.5,0,STATIONERY,NAVNEET,<Add New>,,,,
NAVNEET SOFT BOUND A4 SIZE 172PAGES,NAVNEET SOFT BOUND A,0,8902440000000,Tax 5%,55,55,0,39.28,0,STATIONERY,NAVNEET,<Add New>,,,,
NAVNEET MY SCRAP BOOK 32 PAGES,NAVNEET MY SCRAPBOOK,48201010,8902440000000,Tax 5%,40,40,16,21,336,STATIONERY,NAVNEET,<Add New>,,,,
AXE DEO SIGNATURE BODY PERFUME CHAMPION 122ML,AXE DEO CHAMPION,33072000,8901030000000,GST @18%,190,190,2,140.01,280.02,PERSONAL CARE,AXE,DEOS AND PERFUMES,,,,
AXE DEO OCEAN BREEZE AQUA 150ML,AXE DEO OCAQUA 150ML,33072000,8901030000000,GST @18%,199,199,0,146.65,0,PERSONAL CARE,AXE,DEOS AND PERFUMES,,,,
AXE DEO MARINE SPLASH AQUA 150ML,AXE DEO MARINE SPLAS,33072000,8901030000000,GST @18%,199,199,0,146.65,0,PERSONAL CARE,AXE,DEOS AND PERFUMES,,,,
AXE DEO MUSICSTAR 150ML,AXE DEO MUSICSTR150M,0,8901030000000,GST @12%,180,180,0,139.13,0,PERSONAL CARE,AXE,DEOS AND PERFUMES,,,,
AXE DEO DARK TEMPTATION 150ML,AXE DEO TEMPT 150ML,33072000,8901030000000,GST @18%,190,190,0,140.01,0,PERSONAL CARE,AXE,DEOS AND PERFUMES,,,,
WILD STONE BODY DEODORANT HYDRA ENERGY 150ML,WI.ST.HYDRA ENERGY ,3307,8904010000000,GST @18%,195,195,1,125.42,125.42,PERSONAL CARE,WILD STONE,DEOS AND PERFUMES,,,,
NIVEA DEO ENERGY FRESH 150ML,NIVEA DEO ENERGY FRE,33072000,4005900000000,GST @28%,199,199,1,141.34,141.34,PERSONAL CARE,NIVEA,DEOS AND PERFUMES,,,,
NIVEA DEO WHITENING SENSITIVE 150ML,NIVEA DE.SEN.,33072000,8904260000000,GST @18%,209,209,2,161.02,322.04,PERSONAL CARE,NIVEA,DEOS AND PERFUMES,,,,
NIVEA MEN DEO FRESH ACTIVE 75ML,NIVEA DEO FRE ACTIV,0,4005810000000,GST @12%,225,225,0,181.82,0,PERSONAL CARE,NIVEA,DEOS AND PERFUMES,,,,
NIVEA DEO PEARL & BEAUTY GENTLE CARE ROLL ON 50ML,NIV DEO ROLL PER BEA,33072000,4005900000000,GST @18%,185,185,3,138.74,416.22,PERSONAL CARE,NIVEA,DEOS AND PERFUMES,,,,
NIVEA MEN DEO COOL KICK ROLL ON 50ML,NIV MEN D COOL K ROL,33072000,4005900000000,GST @18%,165,165,5,123.74,618.7,PERSONAL CARE,NIVEA,DEOS AND PERFUMES,,,,
NIVEA DEO MEN SILVER PROTECT ANTIBACTERIAL150ML,NIV DEO SILVER PROTE,33072000,4005900000000,GST @18%,210,210,0,161.79,0,PERSONAL CARE,NIVEA,DEOS AND PERFUMES,,,,
GALA LAXMI PHOOL JHROO,GALA LAXMI PHOOL JHR,96031000,8901660000000,GST @0%,150,150,-9,120,-1080,"HOUSEHOLD,KITCHEN,BATHROOM",GALA,HOUSEHOLD ACCESSORIES,,,,
WILD STONE DEO NIGHT RIDER 150ML,WI.ST.NIGHT RIDER ,3307,8904010000000,GST @18%,195,195,1,125.42,125.42,PERSONAL CARE,WILD STONE,DEOS AND PERFUMES,,,,
AXE DEO SIGNATURE BODY PERFUME MYSTERIOUS 125ML,AXE DEO SIGNA MYSTIC,33072000,8901030000000,GST @28%,225,225,0,152.85,0,PERSONAL CARE,AXE,DEOS AND PERFUMES,,,,
WILD STONE DEO JUICE 150ML,WILD STONE JUICE DEO,0,8904010000000,GST @12%,195,195,0,131.56,0,PERSONAL CARE,WILD STONE,DEOS AND PERFUMES,,,,
NIVEA MEN DEO FRESH ACTIVE ROLL ON 50ML,NIV MEN D FRSH AC RO,33072000,4005900000000,GST @18%,165,165,6,123.74,742.44,PERSONAL CARE,NIVEA,DEOS AND PERFUMES,,,,
D-SPARKLE DISINFECTANT TOILET CLENER 2X500ML,D-SPARKLE DISINFECTA,0,9976100000000,Tax 5%,100,100,0,76.27,0,"HOUSEHOLD,KITCHEN,BATHROOM",<Add New>,BATHROOM ACCESSORIES,,,,
KNORR SOUP SWEET & SOUR NOODLE 50GM,KNORR SOUP SWEET & S,0,8901030000000,GST @12%,50,50,0,40.77,0,DRINKS AND BEVERAGES,KNORR,SOUPS,,,,
NIVEA FACE WASH PURIFYING MIXED TO OILY SKIN 55ML,NIVEA FACEWASH PURIF,34013090,8904260000000,GST @18%,85,85,0,63.75,0,PERSONAL CARE,NIVEA,SKIN CARE,,,,
MOTHER DAIRY ICE CREAM ORANGE FRUITOLIC 60ML,M.D.ORANGE 60 ML,2105,8901650000000,GST @18%,10,10,9,7.2,64.8,"FROZEN FOODS,ICE-CREAM",MOTHER DAIRY,ICE CREAM,,,,
PLAYBOY DEO PLAY IT SPICY 150ML,PLAYBOY DEO 150ML,0,3607340000000,GST @12%,199,199,1,122.67,122.67,PERSONAL CARE,PLAYBOY,DEOS AND PERFUMES,,,,
ONKAA MANJEETS BLACK SALT 200GM,ONKAA MANJEETS BLACK,2501,186,GST @0%,10,10,0,7,0,"GROCERY,DALS",<Add New>,<Add New>,,,,
ORGANIC NATION SWEET LIME PICKLE 400GM,ORG.NA.SWEET LIME PI,98051000,A8906047700274A,GST @12%,150,150,1,100.45,100.45,"SAUCES,JAMS,PICKLES",ORGANIC NATION,PICKLES,,,,
FUN FOODS VEG MAYONNAISE EGGLESS 875GM,FUN FOODS MAYONNAISE,21039030,8906000000000,GST @12%,159,159,1,118.3,118.3,"SAUCES,JAMS,PICKLES",FUN FOODS,MAYONNAISE AND SANDWICH SPREAD,,,,
SURE ROLL ON WOMEN FREE SPIRIT 40ML,SURE ROLON  SPIRIT W,33079000,4800890000000,GST @18%,100,100,3,73.69,221.07,PERSONAL CARE,SURE,DEOS AND PERFUMES,,,,
SURE ROLL ON WOMEN PASSION 40ML,SURE ROLON PASSION W,33079000,4800890000000,GST @28%,90,90,5,61.14,305.7,PERSONAL CARE,SURE,DEOS AND PERFUMES,,,,
SURE ROLL ON WOMEN PASSION 25ML,SURE ROLON PASSION W,33072000,4800890000000,GST @18%,65,65,7,47.9,335.3,PERSONAL CARE,SURE,DEOS AND PERFUMES,,,,
SURE ROLL ON WOMEN FREE SPIRIT 25ML,SURE ROLON SPIRIT W,33072000,4800890000000,GST @28%,65,65,0,44.16,0,PERSONAL CARE,SURE,DEOS AND PERFUMES,,,,
HIMALAYA NOURISHING SKIN CREAM 50ML,HIM.NOUR.SKIN CREAM,33049910,8901140000000,GST @18%,75,70,2,52.04,104.08,PERSONAL CARE,HIMALAYA,SKIN CARE,,,,
WILD STONE DEO DRIFT 120ML,WILD STONE DEO DRIFT,0,8904010000000,GST @12%,199,199,0,131.56,0,PERSONAL CARE,WILD STONE,DEOS AND PERFUMES,,,,
PASEO ELEGANT HYGIENIC SOFT AND NATURAL NAPKIN 30X30 50SHEETS,PASEO ELEGANT HYGIEN,48189000,8907250000000,GST @18%,65,60,-9,37.99,-341.91,"HOUSEHOLD,KITCHEN,BATHROOM",PASEO,HOUSEHOLD ACCESSORIES,,,,
COLGATE TOOTH BRUSH KIDS 2 GENTLE  SOFT,COL.T/B GENTLE SOFT,0,8901310000000,GST @12%,20,20,0,13.17,0,PERSONAL CARE,COLGATE,ORAL CARE,,,,
PARK AVENUE DEO GOOD MORNING 150ML,PARK AVENUE DEO150ML,33073090,8901280000000,GST @28%,199,199,1,140.06,140.06,PERSONAL CARE,PARK AVENUE,DEOS AND PERFUMES,,,,
PARK AVENUE DEO ALPHA 150ML,P.A  DEO ALPHA150ML,0,8901280000000,GST @12%,190,190,0,150.8,0,PERSONAL CARE,PARK AVENUE,DEOS AND PERFUMES,,,,
HARRISON CI PAD LOCK 20MM,HARRISON CI PAD LOCK,83011000,202,GST @12%,63,63,0,63,0,"HOUSEHOLD,KITCHEN,BATHROOM",HARRISON,HOUSEHOLD ACCESSORIES,,,,
PARK AVENUE DEO TRANQUIL 150ML,P.A  DEO TRANQUIL ,33073090,8901280000000,GST @28%,199,199,1,140.06,140.06,PERSONAL CARE,PARK AVENUE,DEOS AND PERFUMES,,,,
HARRISON CI PAD LOCK 40MM,HARRISON CI PAD LOCK,83011000,204,GST @12%,95,95,0,95,0,"HOUSEHOLD,KITCHEN,BATHROOM",HARRISON,HOUSEHOLD ACCESSORIES,,,,
PARK AVENUE DEO VOYAGE 150ML,PK AVE DEO VOYAGE,33073090,8901280000000,GST @18%,240,240,2,183.23,366.46,PERSONAL CARE,PARK AVENUE,DEOS AND PERFUMES,,,,
PARK AVENUE DEO ALTER EGO 150ML,P.A DEO ALTER EGO,33073090,8901280000000,GST @18%,240,240,1,183.23,183.23,PERSONAL CARE,PARK AVENUE,DEOS AND PERFUMES,,,,
HARRISON CI PAD LOCK 30MM,HARRISON CI PAD LOCK,83011000,207,GST @12%,75,75,0,75,0,"HOUSEHOLD,KITCHEN,BATHROOM",HARRISON,HOUSEHOLD ACCESSORIES,,,,
PARK AVENUE DEO IMAGINE 150ML,PARK AVENUE DEO IMAG,0,8901280000000,GST @12%,195,195,0,154.76,0,PERSONAL CARE,PARK AVENUE,DEOS AND PERFUMES,,,,
HARRISON T-26 60MM,HARRISON T-26 60MM,83011000,8901270000000,GST @12%,194,194,2,194,388,"HOUSEHOLD,KITCHEN,BATHROOM",HARRISON,HOUSEHOLD ACCESSORIES,,,,
HARRISON T-26 50MM,HARRISON T-26 50MM,83011000,8901270000000,GST @12%,121,121,0,121,0,"HOUSEHOLD,KITCHEN,BATHROOM",HARRISON,HOUSEHOLD ACCESSORIES,,,,
HARRISON T-26 55MM,HARRISON T-26 55MM,83011000,8901270000000,GST @12%,137,137,-8,137,-1096,"HOUSEHOLD,KITCHEN,BATHROOM",HARRISON,HOUSEHOLD ACCESSORIES,,,,
SUNDROP PEANUT BUTTER CREAMY,SUNDROP PEANUT BUTTE,0,8901510000000,GST @12%,15,15,0,10,0,BREAKFAST CEREALS,SUNDROP,<Add New>,,,,
BOX RS.80,BOX RS.80,0,214,GST @12%,80,80,0,0,0,"HOUSEHOLD,KITCHEN,BATHROOM",<Add New>,HOUSEHOLD ACCESSORIES,,,,
GATSBY STYLING WAX POWER & SPIKES 75GM,GATSBY WAX PWR SPIKE,3305,4902810000000,GST @28%,180,180,0,107.81,0,PERSONAL CARE,GATSBY,DEOS AND PERFUMES,,,,
OLD SPICE DEO MUSK 150ML,OLD SPICE DEO MUSK,33071090,4902430000000,GST @28%,199,199,2,128.48,256.96,PERSONAL CARE,OLD SPICE,DEOS AND PERFUMES,,,,
OLD SPICE DEO WHITEWATER150ML,O.S. DEO W.WATR150ML,33071090,4902430000000,GST @28%,199,199,0,128.48,0,PERSONAL CARE,OLD SPICE,DEOS AND PERFUMES,,,,
SANWAK RICE 500GM,SANWAK RICE 500GM,0,221,Tax 5%,80,80,5,60,300,"GROCERY,DALS",<Add New>,RICE AND RICE PRODUCTS,,,,
GARNIER FRUCTIS SHAMPOO LONG & STRONG 640ML,GAR. FR.SH.L&S 640ML,0,8901530000000,GST @12%,400,400,1,317.46,317.46,PERSONAL CARE,GARNIER,HAIR CARE,,,,
CHANNA BURFI 500GM,CHANNA BURFI 500GM,0,230,GST @5%,115,115,0,90,0,"CHOCOLATES,SWEETS AND CANDIES",<Add New>,INDIAN SWEETS,,,,
BHUSHA PLAIN BURFI 500GM,BHUSHA PLAIN BURFI 5,0,231,GST @5%,125,125,0,100,0,"CHOCOLATES,SWEETS AND CANDIES",<Add New>,INDIAN SWEETS,,,,
BADAM BURFI 500GM,BADAM BURFI 500GM,0,233,GST @5%,225,225,0,180,0,"CHOCOLATES,SWEETS AND CANDIES",<Add New>,INDIAN SWEETS,,,,
BADAM BUGGA BURFI 500GM,BADAM  BURFI 500GM,0,237,GST @5%,175,175,0,140,0,"CHOCOLATES,SWEETS AND CANDIES",<Add New>,INDIAN SWEETS,,,,
ODONIL NATURE AIR FRESHNER JASMINE MIST HANGER50GM,ODON JAS MIST HANGER,33074900,8901210000000,GST @18%,44,44,12,33.9,406.8,PERSONAL CARE,ODONIL,DEOS AND PERFUMES,,,,
WILD STONE DEO AQUA FRESH 100ML,W.S.DEO AQUA FRESH,3007,8904010000000,GST @18%,195,195,1,125.42,125.42,PERSONAL CARE,WILD STONE,DEOS AND PERFUMES,,,,
COLGATE TOOTH PASTE ACTIVE SALT HEALTHY WHITE 200GM,C.ACT SALT H.W 200GM,33061020,8901310000000,GST @18%,92,92,1,70.23,70.23,PERSONAL CARE,COLGATE,ORAL CARE,,,,
MEDIMIX SOAP TURMERIC & ARGAN OIL 5X125GM,MEDIMIX SOAP TURMERI,34011990,8904020000000,GST @18%,220,220,0,169.49,0,PERSONAL CARE,MEDIMIX,SKIN CARE,,,,
PREMIUM EAU DE COLONGE COMBO 200GM,PREMIUM COLONGE200ML,0,257,GST @12%,160,160,1,129.29,129.29,PERSONAL CARE,PREMIUM,DEOS AND PERFUMES,,,,
LAKME SUN EXPERT SPF 30 ULTRA MATTE LOTION LIGHT & NON STICKY 50ML,LAKME SUN EXPERT SPF,3304,8901030000000,GST @18%,199,199,0,147.93,0,PERSONAL CARE,LAKME,SKIN CARE,,,,
PARK AVENUE SHAVING BRUSH SILVER,P V. SHAVING BRUSH,96032900,8901280000000,GST @18%,80,80,0,61.63,0,PERSONAL CARE,PARK AVENUE,SHAVING NEEDS,,,,
PARK AVENUE AFTER SHAVE LOTION GOOD MORNING 50ML,P.A. AF.SHV LOTN G.M,33071090,8901280000000,GST @28%,115,115,1,81.67,81.67,PERSONAL CARE,PARK AVENUE,SHAVING NEEDS,,,,
PARK AVENUE AFTER SHAVE LOTION ACE 50ML,P V. AF.SHAVE LOTION,33071090,8901280000000,GST @18%,115,115,2,87.8,175.6,PERSONAL CARE,PARK AVENUE,SHAVING NEEDS,,,,
OLD SPICE AFTER SHAVE LOTION MUSK 150ML,O S.AF.S.LOTION MUSK,33071090,4902430000000,GST @18%,215,215,3,162.68,488.04,PERSONAL CARE,OLD SPICE,SHAVING NEEDS,,,,
PARK AVENUE SHAVING CREAM CLASSIC 30GM,P V. SH CREAM CLASSI,0,8901280000000,GST @12%,30,30,0,24.24,0,PERSONAL CARE,PARK AVENUE,SHAVING NEEDS,,,,
PARK AVENUE LATHER SHAVING CREAM GOOD MORNING 70GM,P V. SHAV CRM GOODMR,33071010,8901280000000,GST @18%,65,65,2,49.63,99.26,PERSONAL CARE,PARK AVENUE,SHAVING NEEDS,,,,
GODREJ SHAVING CREAM LEMON FRESH 100GM,GODREJ SH.CR. L.FRS ,3307,8901020000000,GST @18%,50,50,1,38.52,38.52,PERSONAL CARE,GODREJ,DEOS AND PERFUMES,,,,
PARK AVENUE AFTER SHAVE LOTION GOOD MORNING WITH SPRAY 100ML,PRK AV A/S/L GUD MOR,33071090,8901280000000,GST @28%,135,135,1,95.88,95.88,PERSONAL CARE,PARK AVENUE,SHAVING NEEDS,,,,
YARDLEY AFTER SHAVE LOTION ELEGANCE WITH ALOE VERA 50ML,YAR. AF.SV ELL ALOEV,33072000,8903110000000,GST @28%,120,120,4,96.12,384.48,PERSONAL CARE,YARDLEY,SHAVING NEEDS,,,,
WILD STONE AFTER SHAVE LOTION ULTRA SENSUAL 100ML,G B.A.SH.L.ULTRA SEN,0,8904010000000,GST @12%,175,175,-1,127.11,-127.11,PERSONAL CARE,GATSBY,SKIN CARE,,,,
AXE AFTERSHAVE LOTION DARK TEMPTATION 100ML,AXE A.SH. LOTION D.T,33071090,8901030000000,GST @12%,200,200,4,161.62,646.48,PERSONAL CARE,AXE,SHAVING NEEDS,,,,
DETTOL LATHER SHAVING CREAM FRESH 90GM,DETTOL SH.CRM FRESH,33071090,8901400000000,GST @18%,68,68,5,52.39,261.95,PERSONAL CARE,DETTOL,SHAVING NEEDS,,,,
DETTOL LATHER SHAVING CREAM COOL 90GM,DETTOL SH.CREAM COOL,3307,8901400000000,GST @18%,74,74,1,57.01,57.01,PERSONAL CARE,DETTOL,SHAVING NEEDS,,,,
PARLE MILANO MINIS CHOCOLATE CHIP COOKIES 100GM,P.MILANO MINIS CHO.C,19059020,8901720000000,GST @18%,50,50,7,37.83,264.81,BISCUITS,PARLE,COOKIES,,,,
OLD SPICE SHAVE FOAM ORIGINAL 250GM,O.P. SHAVE FOAM ORIG,0,4902430000000,GST @12%,195,195,0,151.78,0,PERSONAL CARE,OLD SPICE,SHAVING NEEDS,,,,
OLD SPICE SHAVE FOAM FRESH LIME 250GM,OLD SPI.SH.FO.FRESHL,0,4902430000000,GST @12%,195,195,0,154.76,0,PERSONAL CARE,OLD SPICE,SHAVING NEEDS,,,,
OLD SPICE LATHER SHAVING CREAM FRESH LIME 70GM,O.S SH.CRM FRESHLIME,33071010,4902430000000,GST @18%,65,65,2,49.19,98.38,PERSONAL CARE,OLD SPICE,SHAVING NEEDS,,,,
OLD SPICE LATHER SHAVING CREAM ORIGINAL 70GM,O.S. SHAV.CREAM ORI.,33071010,4902430000000,GST @18%,65,65,1,49.19,49.19,PERSONAL CARE,OLD SPICE,SHAVING NEEDS,,,,
OLD SPICE LATHER SHAVING CREAM MUSK 70GM,O.S SHAV.CREAM MUSK,3307,4902430000000,GST @18%,65,65,3,49.19,147.57,PERSONAL CARE,OLD SPICE,SHAVING NEEDS,,,,
PARLE MILANO DELICIOUSLY RICH CHOCOLATE CHIP COOKIES 150GM,P.MILANO DELI.RICH C,0,8901720000000,GST @12%,60,60,0,47.61,0,BISCUITS,PARLE,COOKIES,,,,
GILLETTE SHAVING FOAM SENSITIVE 245GM,GILL. SHNG FOAM SENT,34013012,4902430000000,GST @18%,285,285,1,215.64,215.64,PERSONAL CARE,GILLETTE,SHAVING NEEDS,,,,
GILLETTE BODY SPRAY SPORT PROTECT 150ML,GILL. DEO SPORT PRO ,0,7702020000000,GST @12%,199,199,0,157.94,0,PERSONAL CARE,GILLETTE,DEOS AND PERFUMES,,,,
GILLETTE SHAVING GEL REGULAR 60GM,GILL.SH.GEL REGULAR,0,4902430000000,GST @12%,59,59,0,46.83,0,PERSONAL CARE,GILLETTE,SHAVING NEEDS,,,,
YARDLEY LATHER SHAVING CREAM GOLD 70GM,YRD. SHV.CREAM GOLD,33071010,8903110000000,GST @18%,65,60,4,45.81,183.24,PERSONAL CARE,YARDLEY,SHAVING NEEDS,,,,
LIA PRIME ROSE AGARBATHIES 75GM,LIA PRIME ROSE AGARB,33074100,8901750000000,GST @5%,30,30,0,23.81,0,POOJA ITEMS,LIA,<Add New>,,,,
LIA PRIME ROSE AGARBATHIES 280GM,LIA PRIME ROSE AGR,0,8901750000000,GST @0%,100,100,0,83.34,0,POOJA ITEMS,LIA,<Add New>,,,,
LIA CHANDANAM DIVINE & SOOTHING 35GM,LIA CHANDANAM DIVINE,33074100,8901750000000,GST @5%,15,15,0,11.91,0,POOJA ITEMS,LIA,<Add New>,,,,
LIA SAMTRUPTI AGARBATHIES 75GM,LIA SAMTRUPTI AGARBA,33074100,8901750000000,GST @5%,30,30,0,23.81,0,POOJA ITEMS,LIA,<Add New>,,,,
LIA NATURE GIFT AGARBATHIES 35GM,LIA NATURES GIFT CAL,33074100,8901750000000,GST @5%,20,20,0,15.88,0,POOJA ITEMS,LIA,<Add New>,,,,
LIA JASMINE AGARBATHIES 35GM,LIA JASMINE AGARBATH,33074100,8901750000000,GST @5%,15,15,0,11.91,0,POOJA ITEMS,LIA,<Add New>,,,,
LIA CHANDANAM AGARBATHIES 20GM,LIA CHANDANAM A 20GM,33074100,8901750000000,GST @5%,10,10,2,7.93,15.86,POOJA ITEMS,LIA,<Add New>,,,,
LIA NATURES GIFT 35GM,LIA NATURES GIFT 35G,33074100,8901750000000,GST @5%,15,15,0,11.91,0,POOJA ITEMS,LIA,<Add New>,,,,
LIA SAMTRUPTI AGARBATHIES 130GM,LIA SAMTRUPTI AGARBA,33074100,8901750000000,GST @5%,50,50,1,39.68,39.68,POOJA ITEMS,LIA,<Add New>,,,,
MTR GULAB JAMUN 150GM,MTR GULAB JAMUN 150G,21069099,8901040000000,GST @18%,65,65,0,49.19,0,"CHOCOLATES,SWEETS AND CANDIES",MTR,INDIAN SWEETS,,,,
CYCLE SANDALUM AGARBATHIES 12N,CYCLE SANDALUM AGARB,33074100,8901750000000,GST @5%,10,10,11,7.93,87.23,POOJA ITEMS,CYCLE,<Add New>,,,,
CYCLE THREE IN ONE AGARBATHIES 115GM,CYCLE THREE IN ONE 1,33074100,8901750000000,GST @5%,50,50,0,39.68,0,POOJA ITEMS,CYCLE,<Add New>,,,,
CYCLE SANDALUM AGARBATHIES 110GM,CYCLE SANDALUM 110GM,33074100,8901750000000,GST @5%,50,50,1,39.68,39.68,POOJA ITEMS,CYCLE,<Add New>,,,,
WOODS NATURAL INCENSE AGARBTHIES 20N,WOODS NT.INTENSE 20S,33074100,8901750000000,GST @5%,75,75,11,59.52,654.72,POOJA ITEMS,WOODS,<Add New>,,,,
JYOT SMALL,JYOT SMALL,0,345,Tax 5%,10,10,-11,7.5,-82.5,POOJA ITEMS,<Add New>,<Add New>,,,,
CLOTH CLIP PLASTIC RS.90,CLOTH CLIP PLASTIC R,3924,347,GST @18%,90,90,0,60,0,"HOUSEHOLD,KITCHEN,BATHROOM",<Add New>,HOUSEHOLD ACCESSORIES,,,,
JOHNSONS BABY SOAP 75GM,JHNS BABY SOAP 75GM,34011190,8901010000000,GST @18%,45,45,5,34.05,170.25,PERSONAL CARE,JOHNSON,BABY CARE,,,,
JOHNSONS BABY SOAP 100GM,JOHN BABY SOAP 100GM,34011190,8901010000000,GST @18%,55,55,7,40.88,286.16,PERSONAL CARE,JOHNSON,BABY CARE,,,,
JOHNSONS BABY MILK SOAP 75GM,JOHN.BABY M.SOAP 75G,34011190,8901010000000,GST @18%,45,45,5,34.05,170.25,PERSONAL CARE,JOHNSON,BABY CARE,,,,
JOHNSONS BABY LOTION 100ML,JOHNSONS BABY LOTION,33049930,8901010000000,GST @18%,80,80,3,58.45,175.35,PERSONAL CARE,JOHNSON,BABY CARE,,,,
JOHNSONS BABY LOTION 200ML,JOHNSONS BABY LOTION,33049930,8901010000000,GST @18%,142,142,2,103.74,207.48,PERSONAL CARE,JOHNSON,BABY CARE,,,,
