Title,Short Name,HSN Code,Barcode,Tax,MRP,Sale Price,Opening Stock,Purchase Price,Weight,Item Category,Item Company,Sub Category,Item Company Category,Minimum Quantity,Maximum Quantity,Reorder Quantity
BASKIN ROBBINS ICE CREAM GOLD MEDAL RIBBON 500ML,BR.GOLD MEDAL RIBBON,0,8906010000000,GST @12%,269,269,0,186.5,0,"FROZEN FOODS,ICE-CREAM",BASKIN ROBBINS,ICE CREAM,,,,
KURKURE MOONG DAL SALTED 150GM,KURKURE MOONG DAL SA,21069099,8901490000000,GST @12%,35,35,9,25.82,232.38,"SNACKS,CHIPS",KURKURE,SNACKS,,,,
KURKURE CHATPATA MIX 190GM,KURKURE CHATPATA MIX,21069099,8901490000000,GST @12%,35,35,8,25.79,206.32,"SNACKS,CHIPS",KURKURE,SNACKS,,,,
KURKURE ALOO BHUJIA 175GM,KURKURE ALOO BHUJIA,21069099,8901490000000,GST @12%,35,35,8,26.2,209.6,"SNACKS,CHIPS",KURKURE,SNACKS,,,,
LUBE HYDRAVIC OIL 20LTR,LUBE HYDRAVIC OIL 20,0,13932,GST @18%,3460,3460,3,3200,9600,<Add New>,LUBRICANT,<Add New>,,,,
LUBE SUPER KOOLANT 3LTR,LUBE SUPER KOOLANT 3,2710,13933,GST @28%,825,825,7,553.05,3871.35,CAR ACCESSORIES,LUBRICANT,<Add New>,,,,
ACT II NACHOZ JALAPENO FLAVOR 60GM,ACT II NACHOZ JALAPE,190590,8901510000000,GST @12%,30,30,2,23.41,46.82,"SNACKS,CHIPS",ACT,SNACKS,,,,
ACT II NACHOZ JALAPENO FLAVOR 150GM,ACT II NACHOZ JALAPE,19059090,8901510000000,GST @12%,60,60,7,46.83,327.81,"SNACKS,CHIPS",ACT,SNACKS,,,,
ACT II NACHOZ SALTED 60GM,ACT II NACHOZ SALTED,190590,8901510000000,GST @12%,30,30,2,23.41,46.82,"SNACKS,CHIPS",ACT,SNACKS,,,,
ORGANIC NATION ORANGE MARMALADE HIGH FRUIT MARMALADE 450GM,OR.N.ORANGE MARMALAD,20071000,A8906047700175A,GST @12%,170,170,1,113.84,113.84,ORGANIC FOODS,ORGANIC NATION,ORGANIC PICKLES,,,,
ORGANIC NATION PINEAPPLE PRESERVE SPREAD 450GM,ORG.N.PINEAPPLE SPRE,8119010,A8906047700120A,GST @12%,160,160,1,107.14,107.14,ORGANIC FOODS,ORGANIC NATION,ORGANIC SPREADS,,,,
CREMICA CHIPOTLE SANDWICH MAYO 375GM,CREMICA CHIPOTLE SAN,0,8904230000000,GST @12%,125,125,1,94.97,94.97,"SAUCES,JAMS,PICKLES",CREMICA,<Add New>,,,,
M-SEAL SUPER EPOXY PUTTY 10GM,M-SEAL SUPER EPOXY P,0,8901860000000,GST @12%,5,5,-3,3.75,-11.25,"HOUSEHOLD,KITCHEN,BATHROOM",MSEAL,HOUSEHOLD ACCESSORIES,,,,
M-SEAL PHATAPHAT 25GM,M-SEAL PHATAPHAT 25G,0,8901860000000,GST @12%,10,10,-8,7.56,-60.48,"HOUSEHOLD,KITCHEN,BATHROOM",MSEAL,HOUSEHOLD ACCESSORIES,,,,
LOREAL CASTING CREAM GLOSS 300 DARKEST BROWN 24ML,LOR.CAS.DARKEST BROW,33059040,8901530000000,GST @18%,199,199,2,150.58,301.16,PERSONAL CARE,LOREAL,HAIR CARE,,,,
PONDS WHITE BEAUTY SPF15PA FAIRNESS CREAM 50GM,PON.WHITE BEAUTY CRE,33049910,8901030000000,GST @18%,210,210,1,156.11,156.11,PERSONAL CARE,PONDS,SKIN CARE,,,,
HIMALAYA LIP CARE LITCHI SHINE 4.5GM,HIMALAYA LIP CARE LI,0,8901140000000,GST @12%,125,125,2,99.75,199.5,PERSONAL CARE,HIMALAYA,<Add New>,,,,
BOOK MARK RS.30,BOOK MARK RS.30,0,13945,GST @5%,29,29,0,16,0,<Add New>,<Add New>,<Add New>,,,,
BOOK MARK RS.40,BOOK MARK RS.40,0,13946,GST @0%,40,40,0,20,0,<Add New>,<Add New>,<Add New>,,,,
GODREJ NO.1 SOAP NATURE SOFT GLYCERIN & HONEY 3X125GM,GOD.N.SOFT.GLY&HONEY,3401,8901020000000,GST @18%,110,110,2,84.75,169.5,PERSONAL CARE,GODREJ,SKIN CARE,,,,
GOURMETS DELITE WAFERS STRAWBERRY 150GM,GUR.DEL.STRAW.WAFER,0,8904060000000,Tax 5%,65,65,0,50,0,BISCUITS,GOURMETS DELITE,WAFERS,,,,
GOURMETS DELITE WAFERS CAPPUCCINO 150GM,GOU.DEL.CAPPU.WAFERS,0,8904060000000,Tax 5%,65,65,0,50,0,BISCUITS,GOURMETS DELITE,WAFERS,,,,
